pair_id,group,selection_rank,condition,overlap_percent,synset,lemma,cjk_token,hiragana_token,cosine_distance
38,random_true,8,overlap_050,50,lap.n.04,lap,揹陜睐懈,ふうあれ,0.8286994993686676
38,random_true,8,overlap_075,75,lap.n.04,lap,揹陜睐懈,ふうあれ,0.8418252915143967
38,random_true,8,overlap_100,100,lap.n.04,lap,揹陜睐懈,ふうあれ,0.4208463430404663
39,random_true,9,overlap_000,0,conceptnet:eat:1216,eat,哩鿼鏒碯,をゆに,0.7845956981182098
39,random_true,9,overlap_025,25,conceptnet:eat:1216,eat,哩鿼鏒碯,をゆに,0.5835608243942261
39,random_true,9,overlap_050,50,conceptnet:eat:1216,eat,哩鿼鏒碯,をゆに,0.8079768866300583
39,random_true,9,overlap_075,75,conceptnet:eat:1216,eat,哩鿼鏒碯,をゆに,0.5156527757644653
39,random_true,9,overlap_100,100,conceptnet:eat:1216,eat,哩鿼鏒碯,をゆに,0.6146030426025391
40,random_true,10,overlap_000,0,jersey.n.04,jersey,庛疆恀,ゕかや,0.9415241479873657
40,random_true,10,overlap_025,25,jersey.n.04,jersey,庛疆恀,ゕかや,0.8745554387569427
40,random_true,10,overlap_050,50,jersey.n.04,jersey,庛疆恀,ゕかや,0.9354129880666733
40,random_true,10,overlap_075,75,jersey.n.04,jersey,庛疆恀,ゕかや,0.5940505862236023
40,random_true,10,overlap_100,100,jersey.n.04,jersey,庛疆恀,ゕかや,0.40739357471466064
41,random_true,11,overlap_000,0,system.n.06,system,槼諉,ぽをっ,0.8014101833105087
41,random_true,11,overlap_025,25,system.n.06,system,槼諉,ぽをっ,0.8292993456125259
41,random_true,11,overlap_050,50,system.n.06,system,槼諉,ぽをっ,0.6382130086421967
41,random_true,11,overlap_075,75,system.n.06,system,槼諉,ぽをっ,0.6092410385608673
41,random_true,11,overlap_100,100,system.n.06,system,槼諉,ぽをっ,0.5875450372695923
42,random_true,12,overlap_000,0,appetizer.n.01,appetizer,洰白釢,ありぺ,1.0163657441735268
42,random_true,12,overlap_025,25,appetizer.n.01,appetizer,洰白釢,ありぺ,0.7760372906923294
42,random_true,12,overlap_050,50,appetizer.n.01,appetizer,洰白釢,ありぺ,0.88819520175457
42,random_true,12,overlap_075,75,appetizer.n.01,appetizer,洰白釢,ありぺ,0.7231683731079102
42,random_true,12,overlap_100,100,appetizer.n.01,appetizer,洰白釢,ありぺ,0.6159626841545105
43,random_true,13,overlap_000,0,isogram.n.01,isogram,红親,ほちせこか,0.587542712688446
43,random_true,13,overlap_025,25,isogram.n.01,isogram,红親,ほちせこか,0.4402564764022827
43,random_true,13,overlap_050,50,isogram.n.01,isogram,红親,ほちせこか,0.6615043878555298
43,random_true,13,overlap_075,75,isogram.n.01,isogram,红親,ほちせこか,0.6528855562210083
43,random_true,13,overlap_100,100,isogram.n.01,isogram,红親,ほちせこか,0.7412817478179932
44,random_true,14,overlap_000,0,conceptnet:constant:1546,constant,棦柭仾鿡,ぁをゆ,0.7074450850486755
44,random_true,14,overlap_025,25,conceptnet:constant:1546,constant,棦柭仾鿡,ぁをゆ,0.6388469636440277
44,random_true,14,overlap_050,50,conceptnet:constant:1546,constant,棦柭仾鿡,ぁをゆ,0.6728872060775757
44,random_true,14,overlap_075,75,conceptnet:constant:1546,constant,棦柭仾鿡,ぁをゆ,0.5395196080207825
44,random_true,14,overlap_100,100,conceptnet:constant:1546,constant,棦柭仾鿡,ぁをゆ,0.5475449860095978
45,random_true,15,overlap_000,0,conceptnet:card_games:1524,card games,淟猾,けぉの,0.5140232443809509
45,random_true,15,overlap_025,25,conceptnet:card_games:1524,card games,淟猾,けぉの,0.5923545360565186
45,random_true,15,overlap_050,50,conceptnet:card_games:1524,card games,淟猾,けぉの,0.5668835639953613
45,random_true,15,overlap_075,75,conceptnet:card_games:1524,card games,淟猾,けぉの,0.5194622576236725
45,random_true,15,overlap_100,100,conceptnet:card_games:1524,card games,淟猾,けぉの,0.4004923701286316
46,random_true,16,overlap_000,0,conceptnet:lizard:1349,lizard,送乵,ゑべおせ,0.6586292684078217
46,random_true,16,overlap_025,25,conceptnet:lizard:1349,lizard,送乵,ゑべおせ,0.6210280656814575
46,random_true,16,overlap_050,50,conceptnet:lizard:1349,lizard,送乵,ゑべおせ,0.7159862220287323
46,random_true,16,overlap_075,75,conceptnet:lizard:1349,lizard,送乵,ゑべおせ,0.6297403573989868
46,random_true,16,overlap_100,100,conceptnet:lizard:1349,lizard,送乵,ゑべおせ,0.5612862706184387
47,random_true,17,overlap_000,0,flour.n.01,flour,觡騳靱,とえり,0.6943639814853668
47,random_true,17,overlap_025,25,flour.n.01,flour,觡騳靱,とえり,0.812659740447998
47,random_true,17,overlap_050,50,flour.n.01,flour,觡騳靱,とえり,0.8682568967342377
47,random_true,17,overlap_075,75,flour.n.01,flour,觡騳靱,とえり,0.4582403302192688
47,random_true,17,overlap_100,100,flour.n.01,flour,觡騳靱,とえり,0.5084367394447327
48,random_true,18,overlap_000,0,factotum.n.01,factotum,鋈鼢,ひむつ,0.7529335767030716
48,random_true,18,overlap_025,25,factotum.n.01,factotum,鋈鼢,ひむつ,0.5328580141067505
48,random_true,18,overlap_050,50,factotum.n.01,factotum,鋈鼢,ひむつ,0.5172462463378906
48,random_true,18,overlap_075,75,factotum.n.01,factotum,鋈鼢,ひむつ,0.697551816701889
48,random_true,18,overlap_100,100,factotum.n.01,factotum,鋈鼢,ひむつ,0.37042951583862305
49,random_true,19,overlap_000,0,cairene.n.01,cairene,刴墯貽梷,わ,0.6450763940811157
49,random_true,19,overlap_025,25,cairene.n.01,cairene,刴墯貽梷,わ,0.7348681688308716
49,random_true,19,overlap_050,50,cairene.n.01,cairene,刴墯貽梷,わ,0.6377393007278442
49,random_true,19,overlap_075,75,cairene.n.01,cairene,刴墯貽梷,わ,0.4967529773712158
